Photometry,Sector,RV group,Likelihood,Log S0,Log Q,Log w0,Offset,Inc - S0,Inc + S0,Inc - Q,Inc + Q,Inc - w0,Inc + w0,Inc - Offset,Inc + Offset,RMS
TESS_18_0,All,544.4,158.07408300034328,-11.265536091516932,2.9448673814681072,5.730053824245497,-0.0794750365989802,0.3280572451644339,0.34933221692163663,0.5337590049218761,0.6194454855473408,0.02676026659634534,0.02663798209199708,0.014914461810521515,0.014915871224645605,0.060808343070567976
TESS_18_0,All,780.71,44.42069509762521,-12.500381787210232,4.579773148042822,5.671683978610052,-0.06253648136959221,1.0855654444147227,0.9701608009528258,1.4042766298333795,1.7549565875359248,0.03294258972924702,0.02774415738069269,0.01811404552282135,0.01758816676393446,0.037763627955675574
TESS_18_0,All,799.71,69.98256428901126,-11.433796658311035,4.189342854967506,5.572569503366935,-0.06800495395361131,0.5511171017450547,0.5692911924127539,1.0648897737938783,1.4051620899274457,0.034938181375475885,0.033205467202090055,0.01811297025580262,0.018587830937880537,0.05406186764909435
TESS_18_0,All,829.66,43.56384077290697,-10.797650198602666,3.362584940687241,5.6891718161965805,-0.20017796885290215,0.4368215089470411,0.4854703648759404,0.8303329104318982,1.249747869110526,0.025489332086029215,0.025217700143760347,0.024821579436193092,0.024936153720146875,0.07225540143643501
TESS_18_0,All,851.32,117.06075797315675,-10.311755447847982,2.5619679451993878,5.630305893174994,-0.13343421782714057,0.3253687090587256,0.3657063445988875,0.6248822150618865,0.8100726987991762,0.04155376943699718,0.03846168965591179,0.02250071325086192,0.023228784545735043,0.053824549779650135
TESS_18_0,All,913.54,69.9165762184145,-11.947297135091866,4.327437422521058,5.679498087645393,-0.08466165303725566,0.5366751162176602,0.5327837588631983,1.0323833732138175,1.4065173282726438,0.021538372358742564,0.02123466593468404,0.014599623312764473,0.014841791211034697,0.04563861323959512
TESS_18_0,All,1131.79,46.28044664881767,-10.676537148705165,2.6504753114577833,5.639563324959429,0.003112353138774523,0.4311698349865214,0.48649427598343564,0.7594112852957151,1.1248140579693628,0.042618201656045684,0.06576077234301358,0.027397838788616007,0.027595616356445744,0.04268558889767377
TESS_18_0,All,1170.7,58.20711904889651,-11.385272789413719,2.9799513863747507,5.617556262631754,0.01799673098199584,0.5844762258784044,0.6621864518506619,0.9769894681184419,1.3405288538298077,0.053864504843887495,0.05032055847482653,0.02369627842229557,0.023280323959678995,0.04400228591865495
TESS_18_0,All,1519.79,48.58056223578239,-10.879167438010704,3.0028376739461047,5.765552906298726,0.036436676122637957,0.4756128019775847,0.5379117257508774,0.9474179092405048,1.346613099263613,0.048802488542269096,0.04924394420476563,0.023803563508295707,0.024142311839124367,0.05857523911827815
TESS_18_0,All,1566.7,145.58949584171046,-10.977064169413106,1.9514287332124112,5.5991027060436735,0.1495510778192225,0.37045774686461286,0.40826153592200143,0.5754824840550385,0.7198534527737936,0.053925709111420694,0.053488464573534955,0.01589880810651184,0.016036569961949354,0.046830649827321644
