Photometry,Sector,RV group,Likelihood,Log S0,Log Q,Log w0,Offset,Inc - S0,Inc + S0,Inc - Q,Inc + Q,Inc - w0,Inc + w0,Inc - Offset,Inc + Offset
TESS_18_19,All,544.4,-971.6495287561447,2.5475897878012783,2.9475359937733536,5.730163003772333,-79.39175995572079,0.33180634649710417,0.34950035163342585,0.5330737696604908,0.6198743186311781,0.026717807425745477,0.026571588858187667,14.6659535252668,15.073757531246699
TESS_18_19,All,780.71,-196.8149177183226,1.3358060450101499,4.553423629631407,5.671058812457648,-62.42401163270648,1.082433602275053,0.9703026445694813,1.3942919299982242,1.7650925127048325,0.03302976454251816,0.02797609454990635,18.320394808687013,17.585461182190983
TESS_18_19,All,799.71,-371.6374233353346,2.3869318197205764,4.196057821353554,5.572646735404723,-68.11470622746529,0.548857858369868,0.5711078175915185,1.0755181652808856,1.4132743705142943,0.03424562399732167,0.03367401278077509,18.1126601233388,18.684302135553416
TESS_18_19,All,829.66,-439.00816665896605,3.0203244453959646,3.3767447059635805,5.689225109996363,-200.39737131013567,0.4372096784332298,0.47753266004613826,0.8248068155480506,1.2427550710207624,0.025750575476964244,0.025026036566212717,24.93210720026275,25.015266848252224
TESS_18_19,All,851.32,-770.6442900131688,3.5087146246916654,2.555722505213807,5.630536240632208,-133.34703455195842,0.3280040363275334,0.3615028146390169,0.6254153927512789,0.8086421782856172,0.04140063912667724,0.03863989013066593,22.66009497007022,23.140704227609746
TESS_18_19,All,913.54,-349.54791052681355,1.865014155084289,4.350985840742888,5.679781027054764,-84.32140996424417,0.5325309491408654,0.5378564361376861,1.0522795004488579,1.4327744795654613,0.02172789911393025,0.02142704525518635,14.542177194644665,14.85509872868434
TESS_18_19,All,1131.79,-317.2286507265706,3.141979062830119,2.652662122329407,5.640291292897947,3.372556542427221,0.42842326330948266,0.4818383554604342,0.7649932691441934,1.141104517711001,0.04293752118763727,0.06667467240372815,27.666745545387265,27.685768478325492
TESS_18_19,All,1170.7,-317.913521792778,2.418487815701312,2.999058721598238,5.617744546593514,18.285039342855114,0.5786227271324722,0.6624408051317618,0.9892450308249421,1.362925053558521,0.05447855750871877,0.05055024884452841,23.142089899303805,23.12876919813168
TESS_18_19,All,1519.79,-369.52051598137956,2.939695170218683,3.0062315483787847,5.764361033120206,36.53532915912086,0.479746580194484,0.5384803439971417,0.9415940902783522,1.3477697041264767,0.048806277282139376,0.04903630863510422,24.071064867391215,24.130258961621635
TESS_18_19,All,1566.7,-757.6135832078855,2.8370187319058306,1.9517285512686957,5.5997066663746455,149.51795242561192,0.37101310356681694,0.4106852909955512,0.5702447774998294,0.7388392983577612,0.05412515269022222,0.05358936665341929,15.879145745720876,16.133147009262444
TESS_18_19,All,1597.62,-384.11915927673994,2.0785775508597806,3.5571760432098776,5.70275438346135,81.56724356072127,0.5464681073916728,0.5768747406731793,0.9787940541015807,1.3655293479148236,0.03769321661032077,0.03416342272031514,16.733767252159808,17.426294421446926
TESS_18_19,All,2569.81,-324.5191761369561,3.489169185036495,2.095729159428692,5.7726478152681935,130.50379685317665,0.63128736371453,0.7639653852317432,0.9086018570379784,1.2674834925956704,0.0844618803047652,0.0715355167835039,41.036275400323575,41.81966397229863
TESS_18_19,All,2583.88,-402.76906623709067,2.287666147808361,3.4907293147986604,5.76059818490792,92.37020952299454,0.6361883926312042,0.6287005201589215,0.8367982018890809,0.9728994389220191,0.02410934498882078,0.023559848742641165,22.438920543235042,23.22388698334568
TESS_18_19,All,2685.7,-258.9033621000912,2.457083200843245,4.6218648121369394,5.711057902159869,25.380708273646782,0.5933092946006999,0.6077257574155057,1.0999835530922186,1.440710559547739,0.020830340706471162,0.021246109834999416,24.813161790701592,24.530642175902393
TESS_18_19,All,2694.56,-238.22247891982707,1.804063546609409,4.138946162672017,5.776868341908818,98.85161371085192,0.879049172488747,0.7873133824114706,1.2346878302344653,1.6226809621511409,0.036560511751392966,0.030028968338752904,20.039323401781957,19.070663227233695
TESS_18_19,All,2707.08,-606.018723704057,3.3548568657059157,2.4564219050055067,5.601088496733981,198.89571416259236,0.409454422368821,0.46710270301513557,0.689160325380179,0.8753326271660247,0.05699990999664184,0.05316056504248046,25.697807551551392,26.31802704756734
TESS_18_19,All,2985.24,-736.8780692104931,2.1540798796723757,3.3009604310233716,5.643506955919927,-12.812967785936113,0.6662223573390462,0.6420589552864606,0.818983092924396,0.9232364283487069,0.03923806905680571,0.036456896036675346,20.237389552747874,19.517681929976238
TESS_18_19,All,3344.74,-306.1425730517036,2.668875788029651,3.6844979440354737,5.790282920528687,-160.1414217111693,1.0732910795392372,1.2347435239810163,1.4364642117508342,1.6539577918033186,0.06697607275343831,0.051820565946615105,37.03866819183796,40.10371597019744
TESS_18_19,All,3668.0,-788.7573723123583,2.869535735381033,3.1248168759224995,5.693825772746441,106.00127186608367,0.4102897304641453,0.4540584846464113,0.7191687549855144,0.9072528903604344,0.033202020309491154,0.03203926538219015,21.06230059503909,20.829194503696215
TESS_18_19,All,3712.63,-1074.7947210919708,3.7205828209467025,2.925563440302669,5.6663192893774905,99.09323216346542,0.34775572683061773,0.3755150582610498,0.589120729296376,0.6997682174478981,0.02976493996795071,0.028142418074241782,25.465277055057527,24.78631304581627
TESS_18_19,All,3770.45,-4312.700720120455,2.827575640177794,2.9625063988264335,5.665129204455559,81.41539192642907,0.15590130892591958,0.16139548265204073,0.314954941203454,0.3547816615820709,0.012320000787219065,0.012439425435234241,7.907810893680647,8.009736244891727
TESS_18_19,All,3849.51,-326.85851715962207,2.9911560289643173,3.3242806320394545,5.7347598804392295,150.56300231806918,0.4551117303406125,0.5072435194408387,0.9923742353060243,1.3745700767818674,0.04069367727150919,0.04078853848743158,23.035670606321702,23.33555116301224
TESS_18_19,All,4007.84,-536.81557353034,2.8395867056788884,2.5186135593608037,5.776645496736252,13.827219766968255,0.5065767154508443,0.5436876594954172,0.7997769884243262,1.192170408799146,0.045018852324043124,0.04556817604581198,21.5565217025373,21.586668433140275
TESS_18_19,All,4037.19,-3209.270486052693,2.765272010892927,3.3666460968227563,5.70596715261817,34.59938342999768,0.127523476883316,0.13323692545643162,0.36438699103262584,0.4635368319271187,0.010043156847925339,0.010243378415808024,6.699854154759855,6.741121916168765
TESS_18_19,All,4064.77,-574.8901963247591,2.9807921050671595,3.7506912391137175,5.69829279117063,-58.435986492775605,0.41577324079231737,0.4546131723437572,0.9618662953029404,1.375180068298389,0.032921108449153635,0.031363851371223994,23.755811077055135,24.169609859570578
TESS_18_19,All,4094.64,-4764.931044531652,3.203116815409561,3.043998210806244,5.724297663958604,-43.3951347764354,0.1156290555870525,0.11840307102051728,0.33445337020350374,0.43654922835139454,0.010350546812256667,0.010519965531768705,7.276500353457415,7.253412040986632
TESS_18_19,All,4207.68,-2301.0917986465315,2.9490957471046366,3.3033178732017827,5.718079313553728,-34.30596264055663,0.17701518998759802,0.1852972723424644,0.4116873323193273,0.5359905499788322,0.011090579672599965,0.011283011255396325,10.07218282026092,10.013408870357853
TESS_18_19,All,4233.6,-4652.142307276343,2.952321540476275,2.834490712560397,5.714675854496542,-72.07239870696418,0.13064618679535922,0.13459892010958097,0.2508184240301392,0.2778689868149131,0.010823633294115176,0.010627790247096591,7.307078962219279,7.290615116622689
TESS_18_19,All,4525.58,-1056.5582974207168,3.34055541383973,3.255650862931731,5.703054022718469,-92.73302510921594,0.291985941523595,0.3181710204141237,0.7866563330564689,1.2231578229429654,0.028664541930215393,0.027532450203091585,21.12499297057269,21.01107314455622
TESS_18_19,All,4787.42,-1316.8791992524484,3.8684973147974757,2.3249990686067017,5.7121681563702165,4.2990446344775375,0.21998100114448427,0.23871742164125642,0.39574129591466134,0.49285607397458886,0.023130773146899486,0.02287985861983799,17.079375403831044,17.103161035257514
TESS_18_19,All,4828.73,-4164.09373142876,3.115561599026563,2.4233870706698624,5.7275939835665,29.28735489938505,0.1316534172001509,0.13870941193488928,0.28840375878717905,0.35912750553239325,0.014841020032778651,0.01464944820101266,8.296620885809403,8.180292152033552
TESS_18_19,All,4907.33,-1798.127243197353,2.7600313234507188,3.221369516965871,5.704676922304717,52.125871742123806,0.2427246906316478,0.25736708551471166,0.46961745365802887,0.5606594433052239,0.018862442116816425,0.01875182384504903,12.455222828701238,12.354559655244557
