# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
HD 116029 A c	Confirmed				1.27	0.1	0.1				907.0	30.0	30.0				0.038	0.038	0.127					2010	2019-12-13	17.3	49.7	167.0	1455291.0	86.0	114.0																			20.7	2.2	3.2										Published in a refereed paper	Radial Velocity			HD 116029 c		HD 116029 A	200.1666667	24.6486111	8.04					123.2	9.9	9.9	0.18	0.03	0.03	1.58	0.11	0.11	4.6	0.1	0.1	K1III	2.7	0.5	0.5	4951.0	44.0	44.0			HD 116029
HD 117207 b	Confirmed				2.06						2627.08	63.51	63.51	3.78			0.16	0.05	0.05				0.114545	2004	2010-12-30	81.7	19.9	19.9	2450666.43	148.89	148.89																															Published in a refereed paper	Radial Velocity					HD 117207	202.3375	-35.5708333	7.26					33.0			0.27			1.07			1.09			G8VI/V	6.68	2.2	2.2	5432.0					
HD 11755 b	Confirmed				6.5	1.0	1.0				433.7	3.2	3.2	1.08	0.04	0.04	0.19	0.1	0.1					2015	2015-10-01	155.3	12.6	12.6	2457018.2	14.0	14.0																			191.3	10.2	10.2										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 11755	29.70833335	73.152500005	6.87					231.5			-0.74	0.02	0.02	0.9	0.1	0.1	27.3	1.0	1.0	G5	10.2	1.3	1.3	4312.5	5.0	5.0			
HD 117618 b	Confirmed				0.174	0.014	0.014				25.8	0.004	0.004	0.18	0.005	0.005	0.15	0.07	0.07				0.004632	2004	2019-03-05	289.0	64.0	64.0	2450832.2	1.8	1.8																			10.9	0.68	0.68										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 117618	203.1041667	-47.2711111	7.18					38.0			0.04			1.05			1.19			G2V	3.88			5861.0					
HD 118203 b	Confirmed	2.173	0.08	0.08				1.133	0.03	0.03	6.13498	3.8e-05	3.8e-05	0.07082	0.0011	0.00095	0.316	0.021	0.021	88.75	1.0	0.86	0.00079	2005	2019-11-14	153.6	3.6	3.6	2458707.116	0.048	0.048				2458712.66156	0.00025	0.00025	2458708.495	0.082	0.082				0.125	0.086	0.1				218.3	5.2	5.2	1496.0	26.0	26.0							Published in a refereed paper	Radial Velocity	Spectrum	Primary Transit			HD 118203	203.5083333	53.7283333	8.05					88.6			0.1	0.05	0.05	1.23	0.03	0.03				K0	4.6	0.8	0.8	5600.0	150.0	150.0			
HD 118904 b	Confirmed				3.1	1.2	1.2				676.7	19.1	19.1	1.7	0.1	0.1	0.31	0.3	0.3					2018	2018-08-15	29.16	31.02	31.02	2455478.0	82.0	82.0																			61.0	8.0	8.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 118904	204.295785303	71.2422515314	5.665					111.0	9.0	9.0	-0.11	0.09	0.09	1.4	0.2	0.2	14.8	1.3	1.3	K2 III	3.7	1.6	1.6	4469.0	23.0	23.0			
HD 119445 b	Confirmed				37.6	2.6	2.6				410.2	0.6	0.6	1.71	0.06	0.06	0.082	0.007	0.007					2009	2016-08-21																									413.5	2.6	2.6										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 119445	205.620027843	41.6742842694	6.304								0.04	0.18	0.18	3.9	0.4	0.4	20.5	9.3	9.3	G6				5083.0	103.0	103.0			
HD 11964 b	Confirmed				0.622	0.056	0.056				1945.0	26.0	26.0	3.16	0.19	0.19	0.041	0.017	0.017				0.092996	2005	2014-02-13	155.0			2454170.0	380.0	380.0																															Published in a refereed paper	Radial Velocity					HD 11964	29.2875	-10.2422222	6.42					33.98			0.17			1.125			2.18	0.29	0.29	G5	9.56			5248.0					
HD 11964 c	Confirmed				0.079	0.01	0.01				37.91	0.041	0.041	0.229	0.013	0.013	0.3	0.17	0.17				0.006739	2005	2014-02-13	102.0			2454370.0	180.0	180.0																															Published in a refereed paper	Radial Velocity					HD 11964	29.2875	-10.2422222	6.42					33.98			0.17			1.125			2.18	0.29	0.29	G5	9.56			5248.0					
HD 11977 b	Confirmed				6.29	0.7	0.7				711.0	8.0	8.0	1.89	0.11	0.1	0.4	0.07	0.07				0.029023	2005	2016-01-21	351.5	9.5	9.5	2451420.0																																	Published in a refereed paper	Radial Velocity					HD 11977	28.7333333	-67.6472222	4.7					66.5	2.1	2.1	-0.21	0.1	0.1	1.91	0.21	0.21	13.0			G8.5 III	1.25	0.75	0.75	4975.0					
