# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
OGLE-2008-BLG-092L A b	Confirmed	0.18												15.0										2014	2019-12-13																																					Published in a refereed paper	Microlensing			OGLE-2008-BLG-092L b		OGLE-2008-BLG-092L A	266.872583343	-34.7265555778		13.9				7000.0						0.71															OGLE-2008-BLG-092L
OGLE-2008-BLG-355L b	Confirmed	4.6	2.2	3.7																				2014	2016-01-13																																					Published in a refereed paper	Microlensing					OGLE-2008-BLG-355L	269.786708336	-29.2405277552						6800.0	1100.0	1100.0				0.37	0.17	0.3													
OGLE-2009-BLG-151L b	Confirmed	7.5	0.3	0.3										0.31	0.01	0.01								2013	2016-02-26																																					Published in a refereed paper	Microlensing			MOA-2009-232 b		OGLE-2009-BLG-151L	268.5917	-29.0558	15.84					390.0	10.0	10.0				0.018	0.001	0.001													MOA-2009-232
OGLE-2011-BLG-0173L b	Confirmed	0.19	0.11	0.19										10.0										2018	2018-10-29																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2011-BLG-0173L	269.316666672	-28.683888903						6200.0	1.7	1.3				0.4	0.2	0.3													
OGLE-2011-BLG-0251L b	Confirmed	0.96	0.14	0.14										3.86	0.64	0.64								2012	2016-02-26																																					Published in a refereed paper	Microlensing					OGLE-2011-BLG-0251L	264.559083338	-27.1361388938						4090.0	660.0	660.0				0.47	0.07	0.07													
OGLE-2011-BLG-0265L b	Confirmed	0.88	0.18	0.27										1.89	0.25	0.25								2015	2015-07-27																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2011-BLG-0265L	269.450000016	-27.394444461						4380.0	510.0	450.0				0.211	0.068	0.045													
OGLE-2011-BLG-0420L b	Confirmed	9.4	0.5	0.5										0.19	0.01	0.01								2013	2016-02-26																																					Published in a refereed paper	Microlensing					OGLE-2011-BLG-0420L	267.7333	-29.825	14.7					1990.0	80.0	80.0				0.025	0.001	0.001													
OGLE-2012-BLG-0026L b	Confirmed	0.11	0.002	0.002										3.82	0.3	0.3								2012	2013-01-30																																					Published in a refereed paper	Microlensing					OGLE-2012-BLG-0026L	263.5792	-27.1428						4080.0	300.0	300.0				0.82	0.13	0.13													
OGLE-2012-BLG-0026L c	Confirmed	0.68	0.1	0.1										4.63	0.37	0.37								2012	2013-01-29																																					Published in a refereed paper	Microlensing					OGLE-2012-BLG-0026L	263.5792	-27.1428						4080.0	300.0	300.0				0.82	0.13	0.13													
OGLE-2012-BLG-0358L b	Confirmed	1.85	0.19	0.19										0.87	0.03	0.03								2013	2013-08-14																																					Published in a refereed paper	Microlensing					OGLE-2012-BLG-0358L	265.6958	-24.2611						1760.0	130.0	130.0				0.022	0.002	0.002													
OGLE-2012-BLG-0406L b	Confirmed	2.73	0.43	0.43										3.45	0.26	0.26								2013	2013-10-11																																					Published in a refereed paper	Microlensing					OGLE-2012-BLG-0406L	268.325	-30.4711						4970.0	290.0	290.0				0.44	0.07	0.07													
OGLE-2012-BLG-0563L b	Confirmed	0.39	0.23	0.14										0.74	0.42	0.26								2015	2015-08-12																																					Published in a refereed paper	Microlensing					OGLE-2012-BLG-0563L	271.490500019	-27.7120000236						1300.0	800.0	600.0	-0.66	0.07	0.07	0.34	0.2	0.12								5907.0	89.0	89.0			
OGLE-2012-BLG-0724L b	Confirmed	0.47	0.26	0.54										1.6	0.3	0.4								2016	2016-04-20																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2012-BLG-0724L	268.966666684	-29.818611129						6700.0	1200.0	1100.0				0.29	0.16	0.33				M									
