# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
OGLE-2017-BLG-1049 b	Confirmed	5.53	2.87	3.62										3.92	1.32	1.1								2020	2020-12-23																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2017-BLG-1049	269.533333336	-27.144166678						5670.0	1520.0	1110.0				0.55	0.29	0.36													
OGLE-2017-BLG-1140L b	Confirmed	1.63	0.29	0.0										1.02	0.1	0.1								2018	2018-03-15																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2017-BLG-1140L	266.883333344	-24.522777793						7350.0	4.0	4.0				0.214	0.026	0.03				M3									
OGLE-2017-BLG-1375 b	Confirmed	10.33	3.0	3.0										2.97	0.67	0.92								2020	2020-08-24																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2017-BLG-1375	269.154166679	-30.311388904						3790.0	860.0	1180.0				0.77	0.23	0.27													
OGLE-2017-BLG-1434L b	Confirmed	0.014	0.0016	0.0016										1.18	0.1	0.1									2019-01-22																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2017-BLG-1434L	268.280375002	-30.2457222368						860.0	90.0	90.0				0.23	0.03	0.03				M									
OGLE-2017-BLG-1522L b	Confirmed	0.75	0.4	1.2										0.59	0.1	0.1								2018	2018-10-29																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2017-BLG-1522L	270.320833339	-28.461944463						990.0	4.0	9.0				0.046	0.025	0.07													
OGLE-2018-BLG-0532 b	Confirmed	0.019636	0.002888	0.002888										1.083	0.14	0.14								2019	2019-05-22																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018-BLG-0532	269.983333352	-28.997777809						790.0	120.0	120.0				0.199	0.028	0.028													
OGLE-2018-BLG-0567L b	Confirmed	0.32	0.16	0.34										2.72	0.55	0.49								2021	2021-02-16																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018-BLG-0567L	269.016666668	-27.987222245						7070.0	1150.0	930.0				0.24	0.13	0.26													
OGLE-2018-BLG-0596 b	Confirmed	0.0267	0.0236	0.0236										2.15	1.2	1.2								2019	2019-05-16																																					Published in a refereed paper	Microlensing					OGLE-2018-BLG-0596	269.054166671	-29.199166683						5900.0	300.0	300.0				0.2	0.065	0.065													
OGLE-2018-BLG-0677L b	Confirmed	0.01246	0.00837	0.0185										0.63	0.17	0.2								2020	2020-03-09																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018-BLG-0677L	268.75	-32.016666667						7700.0						0.1	0.08	0.15													KMT-2018-BLG-0816, OGLE-2018-BLG-0680
OGLE-2018-BLG-0740L b	Confirmed	4.5	0.6	0.6							3100.0	685.0	685.0	4.2	0.6	0.6								2019	2019-05-02																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018-BLG-0740L	130.695833349	-29.835833352	14.0					3200.0	500.0	500.0				1.0	0.1	0.1													
OGLE-2018-BLG-0799 b	Confirmed	0.41	0.19	0.45										1.38	0.31	0.61								2020	2020-10-20																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018-BLG-0799	273.45833335	-25.485833345						6290.0	2000.0	710.0				0.16	0.08	0.14													
OGLE-2018-BLG-0962	Confirmed	1.37	0.72	0.8										3.57	1.02	0.68								2021	2021-02-16																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018-BLG-0962L	268.175000014	-32.30916668						6470.0	1730.0	1040.0				0.55	0.29	0.32													
OGLE-2018-BLG-1185 b	Confirmed	0.0264	0.0148	0.0249										1.537	0.219	0.182								2021	2021-04-07																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018-BLG-1185	269.79166667	-27.835000018						7400.0	850.0	500.0				0.37	0.21	0.35													
OGLE-2018-BLG-1269L b	Confirmed	0.69	0.22	0.44										4.61	1.17	1.7								2020	2020-06-30																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018-BLG-1269L	269.691666682	-27.618055569		16.0				2560.0	620.0	692.0				1.13	0.35	0.72													
OGLE-2018-BLG-1428L b	Confirmed	0.77	0.33	0.77										3.3	0.83	0.59								2021	2021-02-24																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018-BLG-1428L	265.550000004	-26.137777784						6220.0	1500.0	1000.0				0.43	0.22	0.33													
OGLE-2018-BLG-1700L b	Confirmed	4.4	2.0	3.0										2.8	2.5	3.2								2019	2019-09-12																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018-BLG-1700L	269.954166683	-28.528611131						7600.0	900.0	1200.0				0.54	0.3	0.3													
OGLE-2018BLG-1011L b	Confirmed	1.8	1.1	3.4										1.8	1.5	2.1								2019	2019-07-05																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018BLG-1011L	269.012500001	-29.082777792						7100.0	1500.0	1100.0				0.18	0.1	0.33													
OGLE-2018BLG-1011L c	Confirmed	2.8	1.7	5.1										0.8	0.6	0.9								2019	2019-07-05																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2018BLG-1011L	269.012500001	-29.082777792						7100.0	1500.0	1100.0				0.18	0.1	0.33													
OGLE-2019-BLG-0551	Confirmed	0.0242																						2020	2020-07-16																																					Published in a refereed paper	Microlensing						269.86975000958	-28.8405000224																											
OGLE-2019-BLG-0954L b	Confirmed	14.2	7.5	9.9										2.65	1.2	0.89								2021	2021-04-15																																					Published in a refereed paper	Microlensing	Microlensing		KMT-2019-BLG-3289 b		OGLE-2019-BLG-0954L	267.912500013	-29.611111132						3630.0	1640.0	1720.0				0.8	0.42	0.55													KMT-2019-BLG-3289
OGLE-2019-BLG-0960 b	Confirmed	0.00708	0.0025	0.0025										1.6	0.5	0.5								2021	2021-01-14																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2019-BLG-0960	274.012500001	-25.77250002						880.0	310.0	310.0				0.47	0.2	0.2													
OGLE-2019-BLG-1053L b	Confirmed	0.0078	0.003	0.0038										3.4	0.5	0.5								2021	2021-03-25																																					Published in a refereed paper	Microlensing	Microlensing				OGL-2019-BLG-1053L	270.16666668	-27.34166668						6800.0	900.0	600.0				0.61	0.24	0.29													
TCP J050742+244755 b	Confirmed	0.06	0.009	0.009										0.775	0.2	0.2								2018	2019-12-03																																					Published in a refereed paper	Microlensing	Microlensing		Kojima-1L b		TCP J050742+244755	76.9276666809	24.798750028						429.0	21.0	21.0				0.495	0.063	0.063													
UKIRT-2017-BLG-001 b	Confirmed	1.28	0.44	0.37										4.18	0.88	0.96								2018	2018-08-15																																					Published in a refereed paper	Microlensing	Microlensing				UKIRT-2017-BLG-001	266.654166679	-29.211388902						6300.0	2100.0	1600.0				0.81	0.27	0.21													
