Photometry,Sector,Likelihood,Log S0,Log Q,Log w0,Inc - S0,Inc + S0,Inc - Q,Inc + Q,Inc - w0,Inc + w0
TESS_18_19,All,314992.08876130416,-21.05867712761681,2.153635181524829,5.764505266388031,0.015220669873983184,0.015263721352162918,0.03195655440435852,0.032494462282242065,0.0016724885333490036,0.001672796658096054
TESS_18_19,Sector1,116038.99899662571,-21.74943471810689,2.879152611319988,5.757251560472405,0.02381419083820191,0.02473403856116363,0.07197125042563313,0.07461880372613905,0.0019330470340808148,0.001961382573857584
TESS_18_19,Sector2,88076.57638702572,-20.881503559846912,1.963501515068954,5.766532749680148,0.027494199403264474,0.027085911659145978,0.05338588942038269,0.05689256720975244,0.003466848170776693,0.0034969515327878398
TESS_18_19,Sector3,111589.25202743661,-20.61996223992065,1.6885837125168943,5.774013539411806,0.024429325595157536,0.024433614666374837,0.04181776359822775,0.043037963673430824,0.0036000762482251147,0.0036084259479167713
TESS_20_0,All,-143885.51142425972,8.858849772627723,2.9868736843717585,5.743940077027047,0.021936488049222547,0.021973819326232658,0.072363413488298,0.07646890874991596,0.0018812200800271128,0.001830942681626091
TESS_20_0,Sector1,-68191.13134718627,8.898938913406607,2.9633317647014703,5.745130346758717,0.03212252860253528,0.03162080025207814,0.10524366432061427,0.11704003887352687,0.00269155314215741,0.0027057748282501848
TESS_20_0,Sector2,-75690.00731215431,8.823191479481865,3.009962867150601,5.742817389364436,0.030002386778814838,0.030535899899657437,0.10036503489441984,0.11099075384711155,0.0025179537609183456,0.002476255220500434
TESS_20_1,All,-144527.54699323908,9.041638313776113,2.8112440893893185,5.734320217832478,0.022391203446057162,0.02243337801940193,0.06883730571116375,0.07232683189541955,0.0019789241706948957,0.001982517695213737
TESS_20_1,Sector1,-70859.5814327171,8.67488359394131,3.1771744309921726,5.734937289519511,0.028486171421814532,0.02873950502265643,0.10917025734501973,0.12478409076177277,0.0023492723922995395,0.002358537109044434
TESS_20_1,Sector2,-73491.5910478936,9.47489085583265,2.3793155271769333,5.735750079832671,0.03491800392239064,0.03485246554392951,0.0809193572635154,0.08646115360573159,0.003535593179831764,0.0034757822592643706
TESS_21,All,-144549.0506926529,10.389739592297886,1.3468016602819812,5.765203050697917,0.025890112103951424,0.026249735589985335,0.0379902940560084,0.03951637287681131,0.00425229088903567,0.004206047400860946
TESS_21,Sector1,-70131.72371380684,8.925269864029175,2.824141190747258,5.737511984506668,0.03423268581459915,0.034916860837183705,0.09517198856334197,0.10709361548310081,0.0028433126527023234,0.0028720444677192702
TESS_21,Sector2,-72995.58597250101,11.079010145155282,0.6410437483519568,5.800978065978595,0.04024117706210717,0.039609988527105955,0.03993055681343627,0.03946491315833711,0.008620611247129872,0.008248721976594098
