Photometry,Sector,RV group,Frequency,PSD
TESS_18_0,All,780.71,0.0,4.776611965254809e-38
TESS_18_0,All,780.71,20.571428571391152,4.344028818055355e-06
TESS_18_0,All,780.71,41.142857142782304,1.6775512187489555e-06
TESS_18_0,All,780.71,61.71428571417346,1.5781464054597577e-06
TESS_18_0,All,799.71,0.0,2.786356979731972e-38
TESS_18_0,All,799.71,11.999999999978172,1.7486933665483759e-06
TESS_18_0,All,799.71,23.999999999956344,2.5170226876115914e-07
TESS_18_0,All,799.71,35.999999999934516,1.2392075290073514e-06
TESS_18_0,All,799.71,47.99999999991269,1.595657872586713e-06
TESS_18_0,All,799.71,59.99999999989086,1.9104150684655047e-06
TESS_18_0,All,799.71,71.99999999986903,9.79498441992876e-07
TESS_18_0,All,829.66,0.0,2.5720218274448975e-38
TESS_18_0,All,829.66,11.076923076902927,4.750773929344555e-06
TESS_18_0,All,829.66,22.153846153805855,2.967283484624149e-06
TESS_18_0,All,829.66,33.23076923070878,4.965577127317623e-07
TESS_18_0,All,829.66,44.30769230761171,3.8598490331589264e-06
TESS_18_0,All,829.66,55.38461538451464,1.1239436865444313e-05
TESS_18_0,All,829.66,66.46153846141756,1.0648820467087312e-05
TESS_18_0,All,913.54,0.0,2.5720218274448975e-38
TESS_18_0,All,913.54,11.076923076902927,1.0324578309895738e-05
TESS_18_0,All,913.54,22.153846153805855,2.3573332212053016e-07
TESS_18_0,All,913.54,33.23076923070878,1.9322326094360794e-07
TESS_18_0,All,913.54,44.30769230761171,7.400455809590591e-06
TESS_18_0,All,913.54,55.38461538451464,1.923944666958761e-06
TESS_18_0,All,913.54,66.46153846141756,2.685792147201482e-06
TESS_18_0,All,1170.7,0.0,0.0
TESS_18_0,All,1170.7,16.00000000023283,3.60696542223895e-07
TESS_18_0,All,1170.7,32.00000000046566,2.299096943019476e-06
TESS_18_0,All,1170.7,48.00000000069849,4.919969254968948e-07
TESS_18_0,All,1170.7,64.00000000093132,1.4640101870337776e-06
TESS_18_0,All,1519.79,0.0,1.1145427918745428e-37
TESS_18_0,All,1519.79,12.000000000174623,1.544825912072066e-06
TESS_18_0,All,1519.79,24.000000000349246,2.671717742167419e-06
TESS_18_0,All,1519.79,36.00000000052387,5.708692525086111e-06
TESS_18_0,All,1519.79,48.00000000069849,2.599867491707033e-06
TESS_18_0,All,1519.79,60.000000000873115,3.8921885319318747e-07
TESS_18_0,All,1519.79,72.00000000104774,1.4942501104268865e-06
TESS_18_0,All,1597.62,0.0,2.786356979686357e-38
TESS_18_0,All,1597.62,12.000000000174623,3.2313107383643205e-07
TESS_18_0,All,1597.62,24.000000000349246,3.8001537209367866e-06
TESS_18_0,All,1597.62,36.00000000052387,2.8072407882557672e-06
TESS_18_0,All,1597.62,48.00000000069849,1.1794154559432922e-07
TESS_18_0,All,1597.62,60.000000000873115,1.7427089683086766e-06
TESS_18_0,All,1597.62,72.00000000104774,8.489257701330947e-06
TESS_18_0,All,2685.7,0.0,5.8049103743465766e-40
TESS_18_0,All,2685.7,16.00000000023283,4.948818558080025e-06
TESS_18_0,All,2685.7,32.00000000046566,4.3338550291007394e-07
TESS_18_0,All,2685.7,48.00000000069849,1.5665605425034464e-07
TESS_18_0,All,2685.7,64.00000000093132,7.643927130882217e-06
TESS_18_0,All,2694.56,0.0,0.0
TESS_18_0,All,2694.56,18.000000000261934,1.1157341615128563e-05
