# Time Residus
1.491798186050718869e+03 -8.879072970379890867e-08
1.492128186050718796e+03 -1.676679845682492426e-07
1.492458186050718723e+03 -1.225303753247271895e-07
1.492788186050718650e+03 5.542968871198793064e-08
1.493118186050718577e+03 -5.061187012981147095e-07
1.493448186050718505e+03 6.161216161638592645e-08
1.493778186050718432e+03 1.597309108085773409e-07
1.494108186050718359e+03 1.356322442202042321e-07
1.494438186050718286e+03 6.267472227247078687e-08
1.494768186050718214e+03 -4.502352886553742932e-08
1.495098186050718141e+03 7.145210188076750935e-08
1.495428186050718068e+03 1.013324779585800067e-07
1.495758186050717995e+03 5.836760194575634999e-08
1.496088186050717923e+03 1.490824051239826456e-07
1.496418186050717850e+03 1.145358058163199443e-08
1.496748186050717777e+03 3.639926872910539923e-07
1.497078186050717704e+03 -3.739147668927775124e-07
1.497408186050717632e+03 6.449221395552410132e-08
1.497738186050717559e+03 -1.838191710633867028e-07
1.498068186050717486e+03 -2.423785217375082112e-07
1.498398186050717413e+03 -2.519436199127387392e-07
1.498728186050717341e+03 -1.911976301899833991e-07
1.499058186050717268e+03 1.990295413855827702e-07
1.499388186050717195e+03 -1.683247283494557106e-07
1.499718186050717122e+03 3.679673266181497359e-07
1.500048186050717050e+03 1.480160567933562160e-07
1.500378186050716977e+03 2.527782521343775184e-07
1.500708186050716904e+03 -7.900426466620311466e-08
1.501038186050716831e+03 -4.583893912402296263e-08
1.501368186050716758e+03 -1.411837450123901534e-08
1.501698186050716686e+03 -8.997444115633900899e-08
1.502028186050716613e+03 1.535435963065589106e-07
1.502358186050716540e+03 -3.639619836551243897e-08
1.502688186050716467e+03 -1.031385210421061046e-07
1.503018186050716395e+03 1.646683657837893015e-08
1.504668186050716031e+03 -2.761843280185694027e-07
1.504998186050715958e+03 -4.854722317632088581e-08
1.505328186050715885e+03 7.075516403262066812e-08
1.505658186050715813e+03 -5.277975794343326944e-09
1.505988186050715740e+03 8.069208503528073162e-08
1.506318186050715667e+03 5.755246102239339665e-08
1.506648186050715594e+03 -1.632718056774031268e-07
1.506978186050715522e+03 2.019123274837279795e-07
1.507308186050715449e+03 3.104526691910103478e-07
1.507638186050715376e+03 4.730169715790382943e-07
1.507968186050715303e+03 -2.990358676341607024e-07
1.508298186050715231e+03 -2.117613255736889041e-07
1.508628186050715158e+03 -1.343651922470310519e-07
1.508958186050715085e+03 -3.567545795816566270e-07
1.509288186050715012e+03 -3.145947122788143477e-07
1.509618186050714939e+03 2.373390663133453729e-08
1.509948186050714867e+03 -9.034146300244661509e-08
1.510278186050714794e+03 3.611465478742854869e-07
1.510608186050714721e+03 3.179486186154107566e-07
1.510938186050714648e+03 4.087438337844726557e-08
1.511268186050714576e+03 2.319282203235962730e-07
1.511598186050714503e+03 1.102177008118559320e-07
1.511928186050714430e+03 -2.006185531192424903e-07
1.512258186050714357e+03 -3.765198375193134418e-07
1.512588186050714285e+03 -7.318391866497939728e-08
1.512918186050714212e+03 -3.090309057018249599e-08
1.513248186050714139e+03 2.762934581634807916e-07
1.513578186050714066e+03 3.302837429863064837e-07
1.513908186050713994e+03 3.885482523469750102e-07
1.514238186050713921e+03 -1.660237862560512534e-07
1.514568186050713848e+03 -1.392853160959866481e-07
1.514898186050713775e+03 8.935365643641359924e-08
1.515228186050713703e+03 2.503369830147470204e-07
1.515558186050713630e+03 -1.603781133803722894e-07
1.515888186050713557e+03 -1.754967138761330993e-07
1.516218186050713484e+03 -1.008913928717269942e-06
