# Time Residus
1.438067888476919507e+03 5.181146312970163273e-07
1.438217888476919597e+03 5.573778193620112492e-07
1.438367888476919688e+03 -3.295898832302692694e-07
1.438517888476919779e+03 3.366006447725601065e-07
1.438667888476919870e+03 -5.612747724401431961e-07
1.438817888476919961e+03 3.060594612891020652e-07
1.438967888476920052e+03 -5.335810217051202419e-07
1.439117888476920143e+03 3.652501685814369710e-07
1.439267888476920234e+03 -2.582298494377307833e-07
1.439417888476920325e+03 6.772170773338425876e-08
1.439567888476920416e+03 -3.819704101739431690e-07
1.439717888476920507e+03 5.749068645732468952e-08
1.439867888476920598e+03 -3.283728434979018065e-07
1.440017888476920689e+03 6.484131894345256733e-07
1.440167888476920780e+03 -1.457049860497393882e-08
1.440317888476920871e+03 8.059137034059586791e-08
1.440467888476920962e+03 2.116309297549044341e-07
1.440617888476921053e+03 3.828218804643087067e-07
1.440767888476921144e+03 8.312040903511062129e-08
1.440917888476921235e+03 2.586373154790912512e-07
1.441067888476921325e+03 5.207861212574993967e-07
1.441217888476921416e+03 -3.066137951559769079e-09
1.441367888476921507e+03 -4.179146631944486310e-07
1.441517888476921598e+03 9.321003630815103860e-07
1.441667888476921689e+03 -4.517461791869373407e-08
1.441817888476921780e+03 1.341142452772182874e-07
1.441967888476921871e+03 1.419292931638239713e-08
1.442117888476921962e+03 3.874508600425568292e-07
1.442267888476922053e+03 -1.882787718612935455e-07
1.442417888476922144e+03 -5.137118373229650920e-07
1.442567888476922235e+03 -4.490138398717381700e-07
1.442717888476922326e+03 -1.852733450238533228e-07
1.442867888476922417e+03 3.441690842361829645e-07
1.443017888476922508e+03 -6.520034234787415306e-07
1.443167888476922599e+03 3.689536968535615119e-08
1.443317888476922690e+03 -2.278947149171440994e-07
1.443467888476922781e+03 -3.261228947798250261e-08
1.443617888476922872e+03 -1.914064231741304518e-07
1.443767888476922963e+03 -4.236766497644216782e-07
1.443917888476923054e+03 1.158152188061610318e-07
1.444067888476923144e+03 8.519272432511216154e-08
1.444217888476923235e+03 1.477220167629740686e-07
1.444367888476923326e+03 -4.609123506080945520e-07
1.444517888476923417e+03 6.312569388507623929e-07
1.444667888476923508e+03 6.129058605600603992e-08
1.444817888476923599e+03 -3.342222534234666620e-07
1.444967888476923690e+03 4.831117819629975197e-07
1.445117888476923781e+03 8.552206869021032754e-08
1.445267888476923872e+03 3.113064724654709287e-07
1.445417888476923963e+03 -6.290196188301560220e-08
1.445567888476924054e+03 1.785451983688163352e-08
1.445717888476924145e+03 -3.891130752896886485e-08
1.445867888476924236e+03 6.998447326697118788e-08
1.446017888476924327e+03 -1.787919495685361151e-07
1.446167888476924418e+03 -4.782269583525755762e-08
1.446317888476924509e+03 -1.676354780431208513e-07
1.446467888476924600e+03 -1.294875333017424126e-07
1.446617888476924691e+03 4.966408444063831246e-08
1.446767888476924782e+03 -1.415703466318614068e-07
1.446917888476924873e+03 2.194091320244177681e-07
1.447067888476924963e+03 4.234882222455804987e-08
1.447217888476925054e+03 -1.823123388994057688e-07
1.447367888476925145e+03 2.513259708043420173e-07
1.447517888476925236e+03 -3.928854131947019346e-08
1.447667888476925327e+03 -1.313398608204785489e-07
1.447817888476925418e+03 -4.786295393838441639e-07
1.447967888476925509e+03 1.158950146037026303e-08
1.448117888476925600e+03 -1.068891116677521415e-07
1.448267888476925691e+03 6.781230010032568090e-08
1.448417888476925782e+03 -3.477234788584337557e-07
1.448567888476925873e+03 4.787681044928195409e-07
1.448717888476925964e+03 -4.589869147962764946e-07
1.448867888476926055e+03 -1.268335001675319422e-07
1.449017888476926146e+03 -1.402380549844864352e-07
1.449167888476926237e+03 -6.055934980955493085e-08
1.449317888476926328e+03 4.388166069772362890e-07
1.449467888476926419e+03 1.372538308039603274e-07
1.449617888476926510e+03 2.342041347185790843e-07
1.449767888476926601e+03 5.222258118812531675e-07
1.449917888476926692e+03 -1.080664990518423140e-07
1.450067888476926782e+03 8.614690934906396420e-07
1.450217888476926873e+03 1.499382302832548217e-07
1.451567888476927692e+03 1.077650925727163212e-06
1.451717888476927783e+03 9.519785023070225476e-07
1.451867888476927874e+03 -3.755270850731079850e-07
1.452017888476927965e+03 -2.431132563647571265e-07
1.452167888476928056e+03 -1.589061459947613466e-07
1.452317888476928147e+03 1.926414845010026702e-07
1.452467888476928238e+03 -1.150760832396229747e-07
1.452617888476928329e+03 -2.184696422873826835e-07
1.452767888476928420e+03 -2.185647716321134662e-07
1.452917888476928510e+03 2.374555273058446552e-07
1.453067888476928601e+03 -4.124727549412074183e-07
1.453217888476928692e+03 4.788532135443132037e-07
1.453367888476928783e+03 -4.067190703774362465e-08
1.453517888476928874e+03 -9.214388355208261203e-09
1.453667888476928965e+03 1.923200027544293480e-07
1.453817888476929056e+03 3.200980502779290542e-08
1.453967888476929147e+03 -1.844051607257378960e-07
1.454117888476929238e+03 2.518701934404341602e-07
1.454267888476929329e+03 -2.847350743517829130e-07
1.454417888476929420e+03 3.535626294062890991e-07
1.454567888476929511e+03 -2.237771355808252548e-07
1.454717888476929602e+03 4.646877509800545530e-07
1.454867888476929693e+03 1.583708452568688849e-07
1.455017888476929784e+03 -1.641732279447741384e-06
1.455167888476929875e+03 7.034431940936105842e-07
1.455317888476929966e+03 4.712186905315635923e-07
1.455467888476930057e+03 -3.256983055168996099e-08
1.455617888476930148e+03 -3.730561784137870158e-07
1.455767888476930239e+03 -5.659685770711244083e-07
1.455917888476930329e+03 -3.476262736731746998e-07
1.456067888476930420e+03 -4.797991357593552770e-07
1.456217888476930511e+03 -2.636072904507838728e-07
1.456367888476930602e+03 4.539745313383961274e-07
1.456517888476930693e+03 -4.104706365524344380e-07
1.456667888476930784e+03 6.324530832554806371e-07
1.456817888476930875e+03 2.454838113670527866e-07
1.456967888476930966e+03 1.537805026333674958e-07
1.457117888476931057e+03 -1.217364575976263086e-07
1.457267888476931148e+03 -1.744698864074660827e-07
1.457417888476931239e+03 7.393868828103682766e-08
1.457567888476931330e+03 -1.499143890896413213e-07
1.457717888476931421e+03 -1.645039397983553855e-07
1.457867888476931512e+03 5.941199265202124034e-07
1.458017888476931603e+03 -2.660729682865578298e-07
1.458167888476931694e+03 3.723735506415775407e-07
1.458317888476931785e+03 5.256357459056989363e-07
1.458467888476931876e+03 5.759325184087718252e-07
1.458617888476931967e+03 1.142753859770148542e-07
1.458767888476932058e+03 5.862467214323297081e-07
1.458917888476932148e+03 -1.166791295597951812e-07
1.459067888476932239e+03 -1.226369961719957471e-06
1.459217888476932330e+03 -1.125557943621313997e-06
1.459367888476932421e+03 -4.841823318822867997e-07
1.459517888476932512e+03 -4.738717287476344406e-07
1.459667888476932603e+03 7.642969169332327021e-07
1.459817888476932694e+03 -1.792632371454015447e-08
1.459967888476932785e+03 -3.485305014851427021e-07
1.460117888476932876e+03 5.668749224937060776e-07
1.460267888476932967e+03 -1.882969526227166461e-07
1.460417888476933058e+03 3.194733681282996334e-07
1.460567888476933149e+03 1.957814344208853352e-07
1.460717888476933240e+03 -1.085322745975470391e-07
1.460867888476933331e+03 4.304891537173546351e-08
1.461017888476933422e+03 -2.099480858269103154e-07
1.461167888476933513e+03 4.109152245042786986e-07
1.461317888476933604e+03 2.006152966825290260e-07
1.461467888476933695e+03 -1.191746560078341445e-07
1.461617888476933786e+03 6.638214126534573690e-08
1.461767888476933877e+03 5.728046393789128175e-07
1.461917888476933967e+03 -9.170457185323252682e-07
1.462067888476934058e+03 5.707234400857634649e-07
1.462217888476934149e+03 3.528429537744434876e-07
1.462367888476934240e+03 8.540648842263136454e-08
1.462517888476934331e+03 4.496913160384680092e-07
1.462667888476934422e+03 -2.288704783275445942e-07
1.462817888476934513e+03 2.779099044513410502e-08
1.462967888476934604e+03 -2.294112583049271741e-07
1.463117888476934695e+03 4.889738624363008980e-07
1.463267888476934786e+03 -8.777732388700034196e-07
1.463417888476934877e+03 6.429085601605205210e-07
1.463567888476934968e+03 -6.952448873001587409e-07
1.463717888476935059e+03 3.470811545638577220e-07
1.463867888476935150e+03 9.214668785223841538e-08
1.468217888476937787e+03 -8.571221006281604105e-07
1.468367888476937878e+03 6.727370187257187278e-07
1.468517888476937969e+03 -6.556644505826434499e-08
1.468667888476938060e+03 -3.007149975142731080e-07
1.468817888476938151e+03 -8.937103814098277653e-08
1.468967888476938242e+03 -8.387909648796724735e-07
1.469117888476938333e+03 1.737585967825299635e-07
1.469267888476938424e+03 -2.306619219002478276e-07
1.469417888476938515e+03 6.312894348432847158e-07
1.469567888476938606e+03 -9.831900446874739419e-08
1.469717888476938697e+03 -1.507989257015168081e-07
1.469867888476938788e+03 1.610683745329528163e-07
1.470017888476938879e+03 6.014701031891661227e-07
1.470167888476938970e+03 -6.186873545370401440e-08
1.470317888476939061e+03 5.775674314049087492e-07
1.470467888476939152e+03 3.790531370368916666e-07
1.470617888476939243e+03 -5.463468279556895889e-07
1.470767888476939333e+03 5.300311130654425095e-07
1.470917888476939424e+03 -1.040887548992625696e-09
1.471067888476939515e+03 1.354789163786494872e-07
1.471217888476939606e+03 3.004209988195422878e-07
1.471367888476939697e+03 1.966720595927942658e-07
1.471517888476939788e+03 4.606105643477844499e-07
1.471667888476939879e+03 -1.771306744090368772e-07
1.471817888476939970e+03 7.648356556396324034e-08
1.471967888476940061e+03 5.285626069580646661e-07
1.472117888476940152e+03 6.729754905858865023e-08
1.472267888476940243e+03 -9.113958557602528277e-08
1.472417888476940334e+03 3.367286924407077931e-07
1.472567888476940425e+03 -2.038143785502525567e-07
1.472717888476940516e+03 -1.260966588727623383e-07
1.472867888476940607e+03 2.900043855809026607e-07
1.473017888476940698e+03 -1.742511736856643848e-08
1.473167888476940789e+03 -5.289172976479733120e-07
1.473317888476940880e+03 3.706989601701435777e-08
1.473467888476940971e+03 1.658995197020532251e-07
1.473617888476941062e+03 4.079501386751500780e-07
1.473767888476941152e+03 2.610670742395379742e-07
1.473917888476941243e+03 -5.323143061527110104e-08
1.474067888476941334e+03 8.147635972792448423e-08
1.474217888476941425e+03 4.419145393241018467e-09
1.474367888476941516e+03 2.816247533900919575e-07
1.474517888476941607e+03 2.074020828567323211e-07
1.474667888476941698e+03 -7.084397675452687890e-08
1.474817888476941789e+03 -4.650252508887332431e-08
1.474967888476941880e+03 -1.491760994670126547e-08
1.475117888476941971e+03 -7.325860860412424185e-08
1.475267888476942062e+03 -1.326280806116067443e-07
1.475417888476942153e+03 2.482534905937597962e-07
1.475567888476942244e+03 -4.869807137768082806e-07
1.475717888476942335e+03 -4.881472009737669113e-07
1.475867888476942426e+03 -1.833909686939412651e-07
1.476017888476942517e+03 1.967991338307577587e-08
1.476167888476942608e+03 -4.459140034060346296e-07
1.476317888476942699e+03 -2.074029248478182361e-07
1.476467888476942790e+03 -2.779960924309338215e-07
1.476617888476942881e+03 -1.202295642534674917e-06
1.476767888476942971e+03 -7.620518022341435672e-07
1.476917888476943062e+03 -1.093985173869802388e-06
1.477067888476943153e+03 2.257307002085827902e-06
1.478117888476943790e+03 3.275614364110032269e-07
1.478267888476943881e+03 9.362651913028088568e-07
1.478417888476943972e+03 4.344853576166712337e-07
1.478567888476944063e+03 -3.799972626339354277e-07
1.478717888476944154e+03 3.315722392092266335e-07
1.478867888476944245e+03 -1.858608394144377867e-07
1.479017888476944336e+03 1.267312103438013220e-07
1.479167888476944427e+03 -7.429208352106298792e-07
1.479317888476944518e+03 2.078722680098898934e-08
1.479467888476944609e+03 -2.333721663683997223e-07
1.479617888476944700e+03 -5.590924469202597838e-07
1.479767888476944790e+03 1.322455015557228533e-07
1.479917888476944881e+03 -2.122760905408103635e-07
1.480067888476944972e+03 -5.243593984232624746e-07
1.480217888476945063e+03 -1.142824587689554595e-07
1.480367888476945154e+03 -4.676357750137910170e-07
1.480517888476945245e+03 -2.638913900773239724e-07
1.480667888476945336e+03 4.641036395808878882e-07
1.480817888476945427e+03 5.794865330458846015e-07
1.480967888476945518e+03 2.015057549133427219e-07
1.481117888476945609e+03 -1.613558297160662755e-08
1.481267888476945700e+03 2.130502937622868734e-07
1.481417888476945791e+03 1.849115883159305005e-07
1.481567888476945882e+03 -2.114204488022784995e-08
1.481717888476945973e+03 -6.647910823683507629e-09
1.481867888476946064e+03 4.388305923682708237e-08
1.482017888476946155e+03 -5.431877226881855538e-07
1.482167888476946246e+03 9.799666298458429789e-07
