# Time Residus
1.468273638999981813e+03 1.349343972378846956e-05
1.468275027890160800e+03 -2.381127725248344262e-05
1.468276416780339559e+03 4.487112125972636534e-06
1.468277805670518319e+03 2.500587439191459538e-05
1.468279194560697306e+03 -6.075334464838988424e-06
1.468280583450875838e+03 -3.167076199317442331e-05
1.468281972341055280e+03 2.980280391673417739e-05
1.468283361231234721e+03 -1.711707276363938490e-05
1.468284750121412344e+03 3.492660122028645731e-05
1.468286139011591104e+03 -3.730710058813535568e-05
1.468287527901770318e+03 1.866057407151622272e-05
1.468288916791832435e+03 -8.444194179890729401e-06
1.468290305682011194e+03 2.738987081662980216e-05
1.468291694572190409e+03 -4.329015713677719646e-05
1.468293083462369850e+03 3.769733431424615588e-05
1.468294472352548382e+03 -3.191153424397796812e-06
1.468295861242726914e+03 -4.741162408916643756e-05
1.468297250132789941e+03 7.645364463937376343e-05
1.468298639022968473e+03 -5.309554928989435041e-05
1.468300027913147005e+03 1.678418798722880467e-05
1.468301416803326447e+03 7.502945017723305909e-06
1.468302805693388564e+03 -4.688531417551544678e-06
1.468304194583567778e+03 -4.059000411782420770e-06
1.468305583473746992e+03 -4.320114201705749224e-06
1.468306972363808654e+03 2.928967746207433720e-05
1.468308361253987869e+03 -3.844859101098663245e-05
1.468309750144167083e+03 2.366449059165720570e-05
1.468311139034228745e+03 -3.109928263800298964e-06
1.468312527924407732e+03 9.758568480844331816e-06
1.468313916814587174e+03 -3.012843599914383219e-05
1.468315305704649290e+03 2.756582759855241704e-05
1.468316694594827823e+03 3.706498348687858879e-06
1.468318083484890167e+03 -3.047764139940678518e-05
1.468319472375069381e+03 3.359216370224515913e-05
1.468320861265131498e+03 -4.329801464697524693e-06
1.468322250155310257e+03 -2.152291425194796659e-05
1.468323639045373056e+03 1.369782367710570270e-05
1.468325027935551589e+03 -3.187613945021539053e-06
1.468326416825614615e+03 1.521923244540701603e-06
1.468327805715794057e+03 1.035596828313778417e-05
1.468329194605855264e+03 -1.888593271992533573e-06
1.468330583496034706e+03 -2.368037301159198194e-05
1.468331972386097505e+03 3.521178801890734178e-05
1.468333361276275355e+03 -3.055276572494491916e-05
1.468334750166338381e+03 1.448774143764097744e-05
1.468336139056401180e+03 1.286482409834643903e-05
1.468337527946579939e+03 -3.461427586870513551e-05
